Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
445,P. de la Plaza -EEA Sáenz Peña,Nimbus THP,Presidencia de La Plaza,Chaco,-26.93,-59.8,75,A872901,Ruta 7 S/n CP: 3536 Dto. Pres de La Plaza,18/12/2012,11/11/2019
500,P. Roca - EEA El Colorado,Nimbus THP,Presidencia Julio A. Roca,Chaco,-26.15,-59.58,90.8000030517578,A872960,"Paraje La Sirena, Cochiñilae",30/11/2015,23/09/2020
563,Pajonal,Omixom,Sin asignar,Entre Rios,-32.48,-60.31,0,91043,Victoria,31/03/2017,12/01/2019
616,Palavecino,Omixom,Sin asignar,Entre Rios,-32.92,-58.74,0,91076,Gualeguaychu,31/03/2017,12/01/2019
395,Palma Sola - EEA Yuto,Nimbus THP,Palma Sola,Jujuy,-23.98,-64.3,680,A872882,Av.Dardo Dominguez s/n CP: 4501,27/01/2012,23/09/2020
603,Palmita - Perugorria,Omixom,Sin asignar,Corrientes,-29.32,-58.8,0,92027,Curuzú Cuatiá,01/04/2017,10/01/2019
485,Palo Santo - ICyA CIRN,Nimbus THP,Palo Santo,Formosa,-25.57,-59.34,89,A872944,-,06/08/2015,06/11/2017
501,Pampa Infierno -EA Sáenz Peña,Nimbus THP,Pampa del Infierno,Chaco,-26.5,-61.2,149.699996948242,A872957,"Ruta 16; Km 262,5; CP: 3708",02/12/2015,23/09/2020
582,Paraná,Omixom,Sin asignar,Entre Rios,-31.73,-60.53,0,91063,Paraná,31/03/2017,12/01/2019
483,Pareditas - EEA Consulta,Nimbus THP,San Carlos,Mendoza,-33.95,-69.08,1162,A872940,Escuela 4-211 Miguel Ángel Funes,22/07/2015,23/09/2020
604,Parque Nacional Mburucuya,Omixom,Sin asignar,Corrientes,-28.04,-58.1,0,92028,Mburucuya,31/03/2017,11/09/2018
679,Paso de Indios - EEA Chubut,Nimbus THP,Paso de Indios,Chubut,-43.86,-69.05,100,A872856,9 de Julio y Gmo. Rawson,27/09/2019,04/02/2020
283,Paso de Indios(7) - EEA Chubut,Nimbus THP,Paso de Indios,Chubut,-43.36,-68.58,513,A872702,Ruta Prov Nº 12 - Paso Berwyn - CP: 9207,30/08/2011,25/12/2018
584,Paso de la Arena,Omixom,Sin asignar,Entre Rios,-31.75,-60.11,0,91065,Parana,31/03/2017,12/01/2019
276,Paso del Sapo - EEA Esquel,Nimbus THP,Paso del Sapo,Chubut,-42.74,-69.6,395,A872852,"Ruta 12 km 116, CP:9201",31/08/2011,09/01/2020
641,Perdices,Omixom,Sin asignar,Entre Rios,-33.23,-58.7,0,31004,Gualeguaychú,31/03/2017,14/01/2019
619,Picada Veron,Omixom,Sin asignar,Entre Rios,-30.85,-59.39,0,91079,La Paz,31/03/2017,12/01/2019
493,Pje Galarza - EEA Mercedes,Nimbus THP,Santo Tome,Corrientes,-28.16,-56.71,80,A872703,---,14/10/2015,09/05/2019
519,Plottier - IPAF Patagonia,Nimbus THP,Plottier,Neuquen,-38.95,-68.33,283,A872947,-,01/11/2016,14/02/2020
444,Pocito - EEA San juan,Nimbus THP,Pocito,San Juan,-31.66,-68.59,618,A872929,"Calle 11y Vidart, Va. Aberastain - 5427",28/03/2014,23/09/2020
660,Posadas Sede,EBY,Sin asignar,Sin asignar,-27.37,-55.89,0,EBY79,Emplazado en la Sede Posadas de la Entidad Bin...,,
653,Presa,EBY,Sin asignar,Sin asignar,-27.48,-56.71,0,EBY24,Emplazado en la zona de la esclusa.,12/06/2017,17/12/2017
609,Pueblo Brugo,Omixom,Sin asignar,Entre Rios,-31.43,-60.09,0,91068,Parana,31/03/2017,14/11/2017
543,Pueblo Cazes,Omixom,Sin asignar,Entre Rios,-32,-58.53,0,91022,Colon,20/09/2017,12/01/2019
